allowed_values_levels,trait,categorical_trait_description,categorical_trait_synonyms,categorical_trait_identifier
eucalypt_box,bark_morphology_eucalyptus,"Eucalyptus, Corymbia or Angophora taxa with ""Box"" type bark.",NA,bark_morphology_eucalyptus_eucalypt_box
eucalypt_gum,bark_morphology_eucalyptus,"Eucalyptus, Corymbia or Angophora taxa with ""Gum"" type bark.",NA,bark_morphology_eucalyptus_eucalypt_gum
eucalypt_stocking,bark_morphology_eucalyptus,"Eucalyptus, Corymbia or Angophora taxa with ""Gum"" type bark above a rough barked stocking.",NA,bark_morphology_eucalyptus_eucalypt_stocking
eucalypt_ironbark,bark_morphology_eucalyptus,"Eucalyptus, Corymbia or Angophora taxa with ""Ironbark"" type bark.",NA,bark_morphology_eucalyptus_eucalypt_ironbark
eucalypt_peppermint,bark_morphology_eucalyptus,"Eucalyptus, Corymbia or Angophora taxa with ""Peppermint"" type bark.",NA,bark_morphology_eucalyptus_eucalypt_peppermint
eucalypt_stringybark,bark_morphology_eucalyptus,"Eucalyptus, Corymbia or Angophora taxa with ""Stringy"" type bark.",NA,bark_morphology_eucalyptus_eucalypt_stringybark
eucalypt_ribbonbark,bark_morphology_eucalyptus,"Eucalyptus, Corymbia or Angophora taxa with ""Gum"" type bark that sheds in ribbons.",NA,bark_morphology_eucalyptus_eucalypt_ribbonbark
calcicole,plant_tolerance_calcicole,"Plants are tolerant of basic soils, such as calcareous sands and limestone derived soils.",NA,plant_tolerance_calcicole_calcicole
calcifuge,plant_tolerance_calcicole,Plants are intolerant of basic soils.,acidophilous,plant_tolerance_calcicole_calcifuge
ground,competitive_stratum,"Graminoids, herbs and ferns reaching maximum heights of c. 0.2-1 m.",NA,competitive_stratum_ground
mid,competitive_stratum,Shrubs reaching maximum heights of c. 1-2 m.,NA,competitive_stratum_mid
upper,competitive_stratum,Tall shrubs reaching maximum heights of c. 3-5 m.,NA,competitive_stratum_upper
post_fire_ephemeral,competitive_stratum,Taxa that avoid competition with other strata by rapidly completing their life cycle after fire; a sub-category of 'ground'.,NA,competitive_stratum_post_fire_ephemeral
foliaceous,cotyledon_function,Cotyledons are photosynthetic and function as leaves.,NA,cotyledon_function_foliaceous
reserve,cotyledon_function,Cotyledons function as energy reserve organs.,NA,cotyledon_function_reserve
cryptocotylar,cotyledon_position,A type of seed germination in which the cotyledons remain within the seed coat at germination.,NA,cotyledon_position_cryptocotylar
phanerocotylar,cotyledon_position,A type of seed germination in which the cotyledons emerge from the seed coat.,NA,cotyledon_position_phanerocotylar
glabrous,cotyledon_hairs,Cotyledons lack hairs.,NA,cotyledon_hairs_glabrous
hairy,cotyledon_hairs,Cotyledons have hairs.,NA,cotyledon_hairs_hairy
epigeal,seedling_germination_location,Germinant with one or more cotyledons emerging aboveground.,NA,seedling_germination_location_epigeal
hypogeal,seedling_germination_location,Germinant with all cotyledons remaining belowground.,NA,seedling_germination_location_hypogeal
aril,dispersal_appendage,"Fleshy outgrowth of a seed, that often attracts animals like birds or ants.",NA,dispersal_appendage_aril
bristles,dispersal_appendage,"Bristle-like projections. Trait value includes awns, which are slender, bristle-like projections in some grasses.",NA,dispersal_appendage_bristles
bracts_and_glumes,dispersal_appendage,"When the bracts below the inflorescence are persistent and functional as dispersal appendages. This includes persistent glumes, the modified membranous bracts in the family Poaceae that surround the spikelet of a grass.",NA,dispersal_appendage_bracts_and_glumes
elaiosome,dispersal_appendage,Fleshy (often fatty) appendage on seeds that attracts ants.,NA,dispersal_appendage_elaiosome
fleshy_reward,dispersal_appendage,Broad term that includes a suite of appendages that provides a fleshy reward to attract dispersers; highest level of resolution available for some studies.,NA,dispersal_appendage_fleshy_reward
floating_seed,dispersal_appendage,Seed that is dispersed by floating on water.,NA,dispersal_appendage_floating_seed
flotation_scales,dispersal_appendage,"Scales enhancing flotation, thereby assisting with dispersal.",NA,dispersal_appendage_flotation_scales
floral_parts,dispersal_appendage,"When some plant floral parts (the petals, sepals, or style) are persistent and aid in seed and fruit dispersal. This is a broad term not explicitly suggesting a dispersal mechanism.",NA,dispersal_appendage_floral_parts
hairs,dispersal_appendage,Modified hairs that aid in seed dispersal.,NA,dispersal_appendage_hairs
hooks,dispersal_appendage,"A rear-facing point, as in a fish hook that aids in seed and fruit dispersal.",NA,dispersal_appendage_hooks
inflated_parts,dispersal_appendage,"When some part of the seed, fruit, or associated tissues is inflated, aiding in seed or fruit dispersal.",NA,dispersal_appendage_inflated_parts
none,dispersal_appendage,When a fruit and associated tissues lack any dispersal appendages. Includes exarillate and taxa with explicitly deciduous pappus.,NA,dispersal_appendage_none
pappus,dispersal_appendage,"The calyx in Asteraceae that has been modified into bristles, hairs, scales or awns that are attached to the apex of the fruit. Taxa assigned this trait value have a persistent pappus that aids in dispersal, often, but not exclusively through wind dispersal. The pappus can also assist with flotation.",NA,dispersal_appendage_pappus
plumose,dispersal_appendage,"Fruit, seed, style, or other floral component that is plumose and assists with dispersal.",NA,dispersal_appendage_plumose
receptacle,dispersal_appendage,Fleshy receptacle that aids in dispersal.,NA,dispersal_appendage_receptacle
sarcotesta,dispersal_appendage,Fleshy seed coat that aids in dispersal.,NA,dispersal_appendage_sarcotesta
spines,dispersal_appendage,Spines that aid in dispersal.,NA,dispersal_appendage_spines
tumbleweed,dispersal_appendage,"Plant growth form, whereby the aboveground plant component detaches from the roots and is readily rolled by wind across the ground, aiding in dispersal.",NA,dispersal_appendage_tumbleweed
wings,dispersal_appendage,Referring to wing-like seed extensions that aid in wind dispersal.,NA,dispersal_appendage_wings
wing_or_plume,dispersal_appendage,Broad term that includes a suite of appendages that aid in wind dispersal; highest level of resolution available for some studies.,NA,dispersal_appendage_wing_or_plume
anemochory,dispersal_syndrome,Diaspore is dispersed by wind.,wind,dispersal_syndrome_anemochory
anthrochory,dispersal_syndrome,"Diaspore is dispersed by humans, either intentionally or unintentionally.",NA,dispersal_syndrome_anthrochory
atelochory,dispersal_syndrome,Diaspore dispersal is prevented.,antitelochory,dispersal_syndrome_atelochory
autochory,dispersal_syndrome,Diaspore is dispersed by methods originating from the parent plant or diaspore.,NA,dispersal_syndrome_autochory
ballistic,dispersal_syndrome,Seeds are launched away from the plant by explosion as soon as the seed capsule opens.,NA,dispersal_syndrome_ballistic
barochory,dispersal_syndrome,Diaspores are dispersed without assistance.,"gravity, mobile, unassisted, passive",dispersal_syndrome_barochory
chamaechory,dispersal_syndrome,Diaspore is dispersed by being rolled along ground surface by wind.,NA,dispersal_syndrome_chamaechory
endozoochory,dispersal_syndrome,"Diaspore is ingested by animals, either intentionally or accidentally, then transported before being deposited.",ingestion,dispersal_syndrome_endozoochory
epizoochory,dispersal_syndrome,Diaspore is dispersed by accidentally attaching itself to the outside of an animal vector.,"ectozoochory, exozoochory",dispersal_syndrome_epizoochory
hydrochory,dispersal_syndrome,Diaspore is dispersed on the surface of water.,water,dispersal_syndrome_hydrochory
myrmecochory,dispersal_syndrome,"Diaspores have elaiosomes (specialised nutritious appendages) that make them attractive for capture, transport and use by ants or related insects.",NA,dispersal_syndrome_myrmecochory
undefined,dispersal_syndrome,Dispersal mechanism unknown.,unknown,dispersal_syndrome_undefined
zoochory,dispersal_syndrome,"Diaspore is dispersed by animals, by an undescribed mechanism.",NA,dispersal_syndrome_zoochory
fruit,dispersal_unit,Dispersal unit is a fruit.,NA,dispersal_unit_fruit
seed,dispersal_unit,Dispersal unit is a seed.,NA,dispersal_unit_seed
