allowed_values_levels,trait,categorical_trait_description,categorical_trait_synonyms,categorical_trait_identifier
spore,dispersal_unit,Dispersal unit is a spore.,NA,dispersal_unit_spore
seedling,dispersal_unit,Dispersal unit is a seedling.,viviparous,dispersal_unit_seedling
indigenous_people,dispersers,Indigenous people disperse the fruit through traditional practices.,NA,dispersers_indigenous_people
abiotic,dispersers,Fruits are dispersed by unspecified abiotic mechanisms.,NA,dispersers_abiotic
ants,dispersers,Ants are an important fruit dispersal agent.,NA,dispersers_ants
animals,dispersers,Animals are an important fruit dispersal agent.,NA,dispersers_animals
bats,dispersers,Bats are an important fruit dispersal agent.,NA,dispersers_bats
birds,dispersers,Birds are an important fruit dispersal agent.,NA,dispersers_birds
cassowaries,dispersers,"Cassowaries, in contrast to smaller flying birds, are an important fruit dispersal agent.",NA,dispersers_cassowaries
fish,dispersers,Fish are an important fruit dispersal agent.,NA,dispersers_fish
floods,dispersers,Floods are an important fruit dispersal agent.,NA,dispersers_floods
flying_vertebrates,dispersers,Flying birds and bats are important fruit dispersal agents.,NA,dispersers_flying_vertebrates
flying_foxes,dispersers,Flying foxes are an important fruit dispersal agent.,NA,dispersers_flying_foxes
garden_refuse,dispersers,Fruit are dispersed through garden refuse.,NA,dispersers_garden_refuse
insects,dispersers,Insects are an important fruit dispersal agent.,NA,dispersers_insects
invertebrates,dispersers,Invertebrates are an important fruit dispersal agent.,NA,dispersers_invertebrates
mammals,dispersers,Mammals are an important fruit dispersal agent.,NA,dispersers_mammals
mammals_domestic,dispersers,Domesticated ammals are an important fruit dispersal agent.,NA,dispersers_mammals_domestic
non-flying_vertebrates,dispersers,"Mammals and non-flying birds (i.e. cassowary, emu) are important fruit dispersal agents.",NA,dispersers_non-flying_vertebrates
passive,dispersers,There is no special dispersal agent.,NA,dispersers_passive
rain,dispersers,Rain is an important fruit dispersal agent; the diaspore is propelled by action of rain on plant structure or the wetting of the plant structure by rain or dew.,NA,dispersers_rain
rodents,dispersers,Rodents are an important fruit dispersal agent.,NA,dispersers_rodents
vehicles,dispersers,"Vehicles are an important dispersal agent, such as through mud on tyres.",NA,dispersers_vehicles
vertebrates,dispersers,Vertebrates are an important fruit dispersal agent.,NA,dispersers_vertebrates
wind,dispersers,Wind is an important fruit dispersal agent.,NA,dispersers_wind
water,dispersers,Water is an important fruit dispersal agent.,NA,dispersers_water
water_currents,dispersers,Water currents are an important fruit dispersal agent; the diaspore may be either floating or submerged in fresh/saltwater currents.,NA,dispersers_water_currents
morphophysiological_dormancy,seed_dormancy_class,"Seeds exhibit morphophysiological dormancy, with both morphological and physiological dormancy mechanisms that must be overcome.",NA,seed_dormancy_class_morphophysiological_dormancy
morphological_dormancy,seed_dormancy_class,"Seeds exhibit morphological dormancy, generally because an underdeveloped embryo needs to grow.",NA,seed_dormancy_class_morphological_dormancy
non_dormant,seed_dormancy_class,Seeds are non-dormant.,NA,seed_dormancy_class_non_dormant
physical_dormancy,seed_dormancy_class,"Seeds exhibit physical dormancy, due to one or more water-impermeable layers in the seed coat.",NA,seed_dormancy_class_physical_dormancy
physiological_dormancy,seed_dormancy_class,"Seeds exhibit physiological dormancy, whereby chemical changes are required within the seed to break dormancy, including temperature stratification and after-ripening.",NA,seed_dormancy_class_physiological_dormancy
colourless,embryo_colour,Colourless embryo.,NA,embryo_colour_colourless
green,embryo_colour,Green embryo.,NA,embryo_colour_green
aquatic_taxon,fire_exposure_level,Plants rarely or never experience fires because they are aquatic.,NA,fire_exposure_level_aquatic_taxon
fire_avoidance_among_rocks,fire_exposure_level,Plants rarely experience fires because their habitat is restricted to rocky outcrops or rock pavement.,NA,fire_exposure_level_fire_avoidance_among_rocks
fire_avoidance_near_water,fire_exposure_level,Plants rarely or never experience fires because their habitat is close to a body of water.,NA,fire_exposure_level_fire_avoidance_near_water
fire_avoidance_in_swamp,fire_exposure_level,"Plants rarely experience fires because their habitat is usually saturated, but populations can be catastrophically impacted during severe droughts when the swamps dry out.",NA,fire_exposure_level_fire_avoidance_in_swamp
seasonal_fire_avoidance,fire_exposure_level,"Plants avoid fire by only have above-ground parts during seasons when fire is rare or absent, but populations can be catastrophically impacted if fire occurs during an atypical season.",NA,fire_exposure_level_seasonal_fire_avoidance
fire_killed,resprouting_capacity,Fewer than 30% of plants resprout following a fire with 100% leaf scorch.,fire-sensitive,resprouting_capacity_fire_killed
resprouts,resprouting_capacity,More than 70% of plants resprout following a fire with 100% leaf scorch.,NA,resprouting_capacity_resprouts
partial_resprouting,resprouting_capacity,Between 30-70% of plants resprout following a fire with 100% leaf scorch.,NA,resprouting_capacity_partial_resprouting
juvenile_fire_killed,resprouting_capacity_juvenile,Few to no juvenile plants resprout following fire with 100% leaf scorch.,NA,resprouting_capacity_juvenile_juvenile_fire_killed
juvenile_resprout,resprouting_capacity_juvenile,More than 50% of juvenile plants survive and resprout following fire with 100% leaf scorch.,NA,resprouting_capacity_juvenile_juvenile_resprout
juvenile_moderate_fire_killed,resprouting_capacity_juvenile,25-50% of juvenile plants resprout following fire with 100% leaf scorch.,NA,resprouting_capacity_juvenile_juvenile_moderate_fire_killed
establish_post_fire,seedling_establishment_conditions,Seedling establishment occurs following fire.,NA,seedling_establishment_conditions_establish_post_fire
establish_post_disturbance,seedling_establishment_conditions,"Seedling establishment occurs following disturbances that increase light levels at the ground surface, but the type of disturbance is not documented.",NA,seedling_establishment_conditions_establish_post_disturbance
establish_anytime,seedling_establishment_conditions,"Seedlings can establish immediately following a disturbance and in later years as vegetation ages, right thru to mature and over-mature vegetation",NA,seedling_establishment_conditions_establish_anytime
establish_intermediate_to_mature_vegetation,seedling_establishment_conditions,"Seedlings require some environmental characteristics not found in vegetation straight after fires to establish, for they cannot establish within the first season or two after fire but can establish in older vegetation (including mature to over-mature vegetation).",NA,seedling_establishment_conditions_establish_intermediate_to_mature_vegetation
post_fire_recruitment,post_fire_recruitment,Plants that germinate post-fire.,NA,post_fire_recruitment_post_fire_recruitment
post_fire_recruitment_absent,post_fire_recruitment,Plants that do not show increased seeding following fire.,NA,post_fire_recruitment_post_fire_recruitment_absent
fire_dependent_flowering,post_fire_flowering,"Plants predominantly flower after a fire, usually within the first 1-4 growing seasons following the fire.",NA,post_fire_flowering_fire_dependent_flowering
fire_enhanced_flowering,post_fire_flowering,"Flowering is enhanced after a fire, with plants flowering more prolifically for the first 1-4 growing seasons following the fire.",NA,post_fire_flowering_fire_enhanced_flowering
fire_independent_flowering,post_fire_flowering,"Flowering is independent of fire, with the magnitude of flowers produced by plants unchanged following a fire.",NA,post_fire_flowering_fire_independent_flowering
fire_suppressed_flowering,post_fire_flowering,"Flowering is suppressed or absent after a fire, with plants producing fewer flowers for at least the first 1-4 growing seasons following the fire.",NA,post_fire_flowering_fire_suppressed_flowering
fire_retardant,plant_tolerance_fire,"Plants protected from fire by fire retardant in their bark, stems, or other tissues.",NA,plant_tolerance_fire_fire_retardant
fire_retardant_bark,plant_tolerance_fire,Plants protected from fire by fire retardant in their bark.,NA,plant_tolerance_fire_fire_retardant_bark
thick_bark,plant_tolerance_fire,Plants protected from fire by thick bark.,NA,plant_tolerance_fire_thick_bark
blue_purple,flower_colour,Flower colour is blue or purple.,NA,flower_colour_blue_purple
green,flower_colour,Flower colour is green.,NA,flower_colour_green
pink,flower_colour,Flower colour is pink.,NA,flower_colour_pink
red_brown,flower_colour,Flower colour is red or brown.,NA,flower_colour_red_brown
white_cream,flower_colour,Flower colour is white or cream.,NA,flower_colour_white_cream
yellow_orange,flower_colour,Flower colour is yellow or orange.,NA,flower_colour_yellow_orange
grey,flower_colour,Flower colour is grey.,NA,flower_colour_grey
black,flower_colour,Flower colour is black.,NA,flower_colour_black
white,perianth_colour,Perianth colour is white.,NA,perianth_colour_white
yellow,perianth_colour,Perianth colour is yellow.,NA,perianth_colour_yellow
orange,perianth_colour,Perianth colour is orange.,NA,perianth_colour_orange
red,perianth_colour,Perianth colour is red.,NA,perianth_colour_red
pink,perianth_colour,Perianth colour is pink.,NA,perianth_colour_pink
purple,perianth_colour,Perianth colour is purple.,NA,perianth_colour_purple
blue,perianth_colour,Perianth colour is blue.,NA,perianth_colour_blue
green,perianth_colour,Perianth colour is green.,NA,perianth_colour_green
grey,perianth_colour,Perianth colour is grey.,NA,perianth_colour_grey
brown,perianth_colour,Perianth colour is brown.,NA,perianth_colour_brown
black,perianth_colour,Perianth colour is black.,NA,perianth_colour_black
up,flower_orientation,"Flower orientation is vertical, with the floral entrance pointing up.",NA,flower_orientation_up
lateral,flower_orientation,"Flower orientation is horizontal, with the floral entrance perpendicular to main vertical axis.",NA,flower_orientation_lateral
down,flower_orientation,"Flower orientation is pendant, with the floral entrance pointing down.",NA,flower_orientation_down
mixed,flower_orientation,"Flower orientation is mixed, with different flowers exhibiting different orientations.",NA,flower_orientation_mixed
rain,flowering_cues,"Plants increase flowering in response to rain, but the time of year is not specified.",NA,flowering_cues_rain
rain_obligate,flowering_cues,Plants only flower following rain events.,NA,flowering_cues_rain_obligate
rain_all_year,flowering_cues,Plants increase flowering in response to rain at any time of the year.,NA,flowering_cues_rain_all_year
rain_summer,flowering_cues,Plants increase flowering in response to summer rains.,NA,flowering_cues_rain_summer
rain_autumn,flowering_cues,Plants increase flowering in response to autumn rains.,NA,flowering_cues_rain_autumn
rain_winter,flowering_cues,Plants increase flowering in response to winter rains.,NA,flowering_cues_rain_winter
rain_spring,flowering_cues,Plants increase flowering in response to spring rains.,NA,flowering_cues_rain_spring
floods,flowering_cues,Plants increase flowering in response to floods.,NA,flowering_cues_floods
fire,flowering_cues,Plants increase flowering in response to fires.,NA,flowering_cues_fire
bisexual,flower_structural_sex_type,Hermaphrodite; flowers with both male and female reproductive organs.,NA,flower_structural_sex_type_bisexual
incompletely_unisexual,flower_structural_sex_type,Male flowers with pistillodes and/or female flowers with staminodes.,NA,flower_structural_sex_type_incompletely_unisexual
unisexual,flower_structural_sex_type,Flowers with either male or female reproductive organs.,NA,flower_structural_sex_type_unisexual
inferior,flower_ovary_position,"Flower with inferior ovary, where the ovary is embedded in the receptacle and therefore located below the insertion level of the remaining floral organs.",NA,flower_ovary_position_inferior
superior,flower_ovary_position,"Flower with superior ovary, where the ovary is positioned above the insertion level of the remaining floral organs.",NA,flower_ovary_position_superior
half_inferior,flower_ovary_position,Flower where the receptacle is surrounded by the ovary to its mid-level.,NA,flower_ovary_position_half_inferior
one_quarter_inferior,flower_ovary_position,Flower where the receptacle surrounds up to one quarter of the ovary.,NA,flower_ovary_position_one_quarter_inferior
three_quarters_inferior,flower_ovary_position,Flower where the receptacle surrounds more than three quarters of the ovary.,NA,flower_ovary_position_three_quarters_inferior
actinomorphic_general,flower_perianth_symmetry,Perianth displaying radial symmetry.,NA,flower_perianth_symmetry_actinomorphic_general
actinomorphic_rotational,flower_perianth_symmetry,"Perianth that can be equally divided into three or more identical sections that, when rotated around the center of the flower by some number of degrees, exactly match each other in orientation and shape.",NA,flower_perianth_symmetry_actinomorphic_rotational
actinomorphic_strictly_polysymmetric,flower_perianth_symmetry,"Polysymmetry, with three or more planes of bilateral symmetry.",NA,flower_perianth_symmetry_actinomorphic_strictly_polysymmetric
actinomorphic_spiral,flower_perianth_symmetry,Perianth lacking a distinct plane of symmetry because their perianth parts are spirally arranged.,NA,flower_perianth_symmetry_actinomorphic_spiral
asymmetric,flower_perianth_symmetry,Perianth lacking any planes of symmetry.,NA,flower_perianth_symmetry_asymmetric
disymmetric,flower_perianth_symmetry,Perianth with two orthogonal planes of bilateral symmetry.,NA,flower_perianth_symmetry_disymmetric
zygomorphic,flower_perianth_symmetry,"Monosymmetric, with a single plane of bilateral symmetry.",NA,flower_perianth_symmetry_zygomorphic
irregular,flower_perianth_phyllotaxis,Perianth parts lacking any symmetrical organisation.,NA,flower_perianth_phyllotaxis_irregular
spiral,flower_perianth_phyllotaxis,"Perianth parts organised along a continuous spiral, usually with wide divergence angles more or less equal to 137.5 degrees, the Fibonacci 'golden angle'.",NA,flower_perianth_phyllotaxis_spiral
whorled,flower_perianth_phyllotaxis,Perianth parts organised in one or more whorls.,NA,flower_perianth_phyllotaxis_whorled
undifferentiated,flower_perianth_differentiation,"Flower were all tepals are alike, including flowers with a single, undifferentiated whorl.",NA,flower_perianth_differentiation_undifferentiated
marked_differentiation_outer_sepaloid_inner_petaloid,flower_perianth_differentiation,A typical flower with a distinct calyx and corolla.,NA,flower_perianth_differentiation_marked_differentiation_outer_sepaloid_inner_petaloid
marked_differentiation_among_petaloid_tepals,flower_perianth_differentiation,"A flower with tepals that all resemble petals, but with marked differentiation between whorls of tepals.",NA,flower_perianth_differentiation_marked_differentiation_among_petaloid_tepals
marked_differentiation_among_sepaloid_tepals,flower_perianth_differentiation,"A flower with tepals that all resemble sepals, but with marked differentiation between whorls of tepals.",NA,flower_perianth_differentiation_marked_differentiation_among_sepaloid_tepals
marked_differentiation,flower_perianth_differentiation,"A flower with marked differentiation between whorls, but without an indication if the perianth whorls are petals, sepals, or tepals.",NA,flower_perianth_differentiation_marked_differentiation
continuous_differentiation_outer_sepaloid_inner_petaloid,flower_perianth_differentiation,"A flower with multiple whorls, where there is continuous differentiation between the outer sepaloid parts and the inner petaloid parts.",NA,flower_perianth_differentiation_continuous_differentiation_outer_sepaloid_inner_petaloid
continuous_differentiation_among_petaloid_tepals,flower_perianth_differentiation,"A flower with series of tepals that all resemble petals, which display continuous, gradual differentiation between whorls.",NA,flower_perianth_differentiation_continuous_differentiation_among_petaloid_tepals
continuous_differentiation_among_sepaloid_tepals,flower_perianth_differentiation,"A flower with series of tepals that all resemble sepals, which display continuous, gradual differentiation between whorls.",NA,flower_perianth_differentiation_continuous_differentiation_among_sepaloid_tepals
weak_differentiation,flower_perianth_differentiation,"A flower with weak between whorls, but without an indication if the perianth whorls are petals, sepals, or tepals.",NA,flower_perianth_differentiation_weak_differentiation
very_weak_differentiation,flower_perianth_differentiation,"A flower with very weak between whorls, but without an indication if the perianth whorls are petals, sepals, or tepals.",NA,flower_perianth_differentiation_very_weak_differentiation
absent,flower_filament,No filaments present,NA,flower_filament_absent
present_general,flower_filament,"Filaments present, with no specific defining characteristics.",NA,flower_filament_present_general
long_and_narrow,flower_filament,Filaments have a long and narrow shape.,"filiform, slender",flower_filament_long_and_narrow
short_and_narrow,flower_filament,Filaments have a short and narrow shape; subsessile anthers.,NA,flower_filament_short_and_narrow
long_and_wide,flower_filament,Filaments have a long and wide laminar shape.,NA,flower_filament_long_and_wide
short_and_wide,flower_filament,Filaments have a short and wide laminar shape.,NA,flower_filament_short_and_wide
long_and_very_wide,flower_filament,"Filaments have a long and very wide shape; for instance, the petal-like (outer) stamens of Nymphaea.",NA,flower_filament_long_and_very_wide
petaloid,flower_filament,"Filaments are long and wide and colorful, e.g. Canna.",NA,flower_filament_petaloid
fused_into_synandrium,flower_filament,Filament structure formed when stamens fused together.,NA,flower_filament_fused_into_synandrium
fused_into_fascicle_stalks,flower_filament,Special case where the stamens are fused into the stalk of a fascicle of flowers.,NA,flower_filament_fused_into_fascicle_stalks
long_and_narrow_divided_in_two,flower_filament,Filaments have a long and narrow shape that is divided in two; e.g. Adoxa.,NA,flower_filament_long_and_narrow_divided_in_two
short_general,flower_filament,Filament is short relative to the anther.,NA,flower_filament_short_general
apical,flower_anther_orientation,"When thecae are positioned in a transverse position at the tip of the connective and thus dehisce upward in the flower (e.g., Sinofranchetia, Endress and Hufford, 1989).",NA,flower_anther_orientation_apical
extrorse,flower_anther_orientation,When the stomia of the thecae face the floral periphery.,NA,flower_anther_orientation_extrorse
introrse,flower_anther_orientation,When the stomia of the thecae face the floral centre.,NA,flower_anther_orientation_introrse
latrorse,flower_anther_orientation,"When pollen is released toward the side (i.e., toward neighbouring anthers).",NA,flower_anther_orientation_latrorse
basifixed,flower_anther_attachment,Filament attached to the base of the connective. Laminar stamens are classified as basifixed.,NA,flower_anther_attachment_basifixed
dorsifixed,flower_anther_attachment,Filament attached to the dorsal side of the anther.,NA,flower_anther_attachment_dorsifixed
dorsifixed_at_base,flower_anther_attachment,"Filament attached to the dorsal side of the anther, at the base.",NA,flower_anther_attachment_dorsifixed_at_base
ventrifixed,flower_anther_attachment,Filament attached to the ventral side of the anther.,NA,flower_anther_attachment_ventrifixed
longitudinal_slit,flower_anther_dehiscence,Anther with longitudinal slits that extend along the entire length of each theca.,NA,flower_anther_dehiscence_longitudinal_slit
poricidal,flower_anther_dehiscence,"Anther where dehiscence of longitudinal slits is incomplete, with pollen exiting via a small pore at the tip.",NA,flower_anther_dehiscence_poricidal
pores_many,flower_anther_dehiscence,Anther with pollen exiting from many pores along its length.,NA,flower_anther_dehiscence_pores_many
h_valvate,flower_anther_dehiscence,"Anther with two valves on longitudinal hinges, opening horizontally as salon doors; when the stomium bifurcates at its distal and/or proximal end and thus a valve is formed.",NA,flower_anther_dehiscence_h_valvate
flap_valvate,flower_anther_dehiscence,"Anther with one or more flap-like valves on horizontal hinges, opening vertically.",NA,flower_anther_dehiscence_flap_valvate
transverse_slit,flower_anther_dehiscence,Anther with horizontal slit.,NA,flower_anther_dehiscence_transverse_slit
short_basal_slits,flower_anther_dehiscence,Anther where dehiscence of longitudinal slits is incomplete and only occurs over a short extent at the base of the theca.,NA,flower_anther_dehiscence_short_basal_slits
short_central_slits,flower_anther_dehiscence,Anther where dehiscence of longitudinal slits is incomplete and only occurs over a short extent at the center of the theca.,NA,flower_anther_dehiscence_short_central_slits
short_apical_slits,flower_anther_dehiscence,Anther where dehiscence of longitudinal slits is incomplete and only occurs over a short extent at the apical end of the theca.,NA,flower_anther_dehiscence_short_apical_slits
t_valvate,flower_anther_dehiscence,Anther with T-shaped stomium; reduced transverse slit at base.,NA,flower_anther_dehiscence_t_valvate
common_stomium_confluent_thecae,flower_anther_dehiscence,The two thecae of a single anther are fused at one end with a single pore through which pollen exits.,NA,flower_anther_dehiscence_common_stomium_confluent_thecae
circular,flower_anther_dehiscence,Anther with a transverse slit that goes entirely around the anther.,NA,flower_anther_dehiscence_circular
absent,flower_anther_connective_extension,Apical connective extensions are lacking.,NA,flower_anther_connective_extension_absent
short_extension,flower_anther_connective_extension,Connective extension less than a third of the length of anther.,NA,flower_anther_connective_extension_short_extension
long_extension,flower_anther_connective_extension,Connective extension more than a third but less than length of anther; e.g. Idiospermum australiense.,NA,flower_anther_connective_extension_long_extension
very_long_extension,flower_anther_connective_extension,Connective extension more than length of anther; e.g. Galbulimima belgraveana.,NA,flower_anther_connective_extension_very_long_extension
present_general,flower_anther_connective_extension,Apical connective extensions are present but no information on their length relative to the anthers.,NA,flower_anther_connective_extension_present_general
whorled,flower_androecium_structural_phyllotaxis,Stamens and staminodes arranged in whorls.,NA,flower_androecium_structural_phyllotaxis_whorled
spiral,flower_androecium_structural_phyllotaxis,Stamens and staminodes have a spiral arrangement.,NA,flower_androecium_structural_phyllotaxis_spiral
irregular,flower_androecium_structural_phyllotaxis,Stamens and staminodes have an irregular arrangement.,NA,flower_androecium_structural_phyllotaxis_irregular
one_whorl,flower_gynoecium_phyllotaxis,Flowers with a single whorl of carpels.,NA,flower_gynoecium_phyllotaxis_one_whorl
two_or_more_whorls,flower_gynoecium_phyllotaxis,Flowers with two or more whorls of carpels.,NA,flower_gynoecium_phyllotaxis_two_or_more_whorls
spiral,flower_gynoecium_phyllotaxis,Flowers with carpels in a spiral arrangement.,NA,flower_gynoecium_phyllotaxis_spiral
absent,flower_style_differentiation,Stigma sessile.,NA,flower_style_differentiation_absent
present_length_and_shape_unknown,flower_style_differentiation,Style present but shape unknown.,NA,flower_style_differentiation_present_length_and_shape_unknown
present_short_and_thick,flower_style_differentiation,"Style present, and short and thick.",NA,flower_style_differentiation_present_short_and_thick
present_short_and_narrow,flower_style_differentiation,"Style present, and short and narrow, including short filiform styles.",NA,flower_style_differentiation_present_short_and_narrow
present_long_and_wide,flower_style_differentiation,"Style present, and long and wide.",NA,flower_style_differentiation_present_long_and_wide
present_long_and_narrow,flower_style_differentiation,"Style present, and long and narrow, including long filiform styles.",NA,flower_style_differentiation_present_long_and_narrow
present_petaloid,flower_style_differentiation,Style present and petaloid.,NA,flower_style_differentiation_present_petaloid
continuous,flower_style_differentiation,When the style is an apical extension of carpel with decurrent stigma.,NA,flower_style_differentiation_continuous
