label,scheme,traitID
Subtropical population,http://top-thesaurus.org/trait#,TOP804
Bark sugar content per bark dry mass,http://top-thesaurus.org/trait#,TOP913
Absorptive fine root cellulose content per dry mass,http://top-thesaurus.org/trait#,TOP828
Root manganese content per root dry mass trait,http://top-thesaurus.org/trait#,TOP719
Specific fine root length,http://top-thesaurus.org/trait#,TOP937
Seed length,http://top-thesaurus.org/trait#,TOP91
Monoecious plant,http://top-thesaurus.org/trait#,TOP297
Shoot turio,http://top-thesaurus.org/trait#,TOP164
Stem carbon content per stem dry mass,http://top-thesaurus.org/trait#,TOP491
Shoot architecture type,http://top-thesaurus.org/trait#,TOP140
Bark manganese content per bark dry mass,http://top-thesaurus.org/trait#,TOP382
Meridional population,http://top-thesaurus.org/trait#,TOP805
Transport fine root cellulose content per dry mass,http://top-thesaurus.org/trait#,TOP829
Specific fine root length,http://top-thesaurus.org/trait#,TOP938
Stem sugar content per stem dry mass,http://top-thesaurus.org/trait#,TOP914
Dispersule length trait,http://top-thesaurus.org/trait#,TOP90
Shoot bulb,http://top-thesaurus.org/trait#,TOP165
Dioecious plant,http://top-thesaurus.org/trait#,TOP298
Stem chlorine content per stem dry mass,http://top-thesaurus.org/trait#,TOP492
Bark molybdenum content per bark dry mass,http://top-thesaurus.org/trait#,TOP383
Bambusoid,http://top-thesaurus.org/trait#,TOP141
Magenta flower,http://top-thesaurus.org/trait#,TOP250
Third order fine root cellulose content per dry mass,http://top-thesaurus.org/trait#,TOP826
Specific root length trait,http://top-thesaurus.org/trait#,TOP935
Root iron content per root dry mass trait,http://top-thesaurus.org/trait#,TOP717
Stem wood copper content per stem wood dry mass,http://top-thesaurus.org/trait#,TOP608
Shoot sugar content per shoot dry mass,http://top-thesaurus.org/trait#,TOP911
Austral population,http://top-thesaurus.org/trait#,TOP802
Ellenberg light value,http://top-thesaurus.org/trait#,TOP186
Plant dicliny type,http://top-thesaurus.org/trait#,TOP295
Shoot tendril,http://top-thesaurus.org/trait#,TOP162
Bark iron content per bark dry mass,http://top-thesaurus.org/trait#,TOP380
Branch sugar content per branch dry mass,http://top-thesaurus.org/trait#,TOP912
Fourth order fine root cellulose content per dry mass,http://top-thesaurus.org/trait#,TOP827
Root magnesium content per root dry mass trait,http://top-thesaurus.org/trait#,TOP718
Stem wood iron content per stem wood dry mass,http://top-thesaurus.org/trait#,TOP609
Tropical population,http://top-thesaurus.org/trait#,TOP803
Specific coarse root length,http://top-thesaurus.org/trait#,TOP936
Succulent shoot,http://top-thesaurus.org/trait#,TOP163
Hermaphroditic plant,http://top-thesaurus.org/trait#,TOP296
Bark magnesium content per bark dry mass,http://top-thesaurus.org/trait#,TOP381
Stem calcium content per stem dry mass,http://top-thesaurus.org/trait#,TOP490
Stem wood chlorine content per stem wood dry mass,http://top-thesaurus.org/trait#,TOP606
Fine root lignin content per fine root dry mass,http://top-thesaurus.org/trait#,TOP848
Wood molybdenum content per wood dry mass trait,http://top-thesaurus.org/trait#,TOP739
Branch coarse woody debris sugar content per branch coarse woody debris dry mass,http://top-thesaurus.org/trait#,TOP933
Seed width,http://top-thesaurus.org/trait#,TOP95
Arctic species,http://top-thesaurus.org/trait#,TOP800
Fine root cellulose content per fine root dry mass,http://top-thesaurus.org/trait#,TOP824
Plant dry mass,http://top-thesaurus.org/trait#,TOP71
Root cobalt content per root dry mass trait,http://top-thesaurus.org/trait#,TOP715
Alpine distributed plant population,http://top-thesaurus.org/trait#,TOP184
Plant flowering end trait,http://top-thesaurus.org/trait#,TOP293
Shoot thorn,http://top-thesaurus.org/trait#,TOP160
Root copper content per root dry mass trait,http://top-thesaurus.org/trait#,TOP716
Stem wood cobalt content per stem wood dry mass,http://top-thesaurus.org/trait#,TOP607
Fine root lignin content per fine root dry mass,http://top-thesaurus.org/trait#,TOP849
Litter sugar content per litter dry mass,http://top-thesaurus.org/trait#,TOP934
Plant sugar content per plant dry mass,http://top-thesaurus.org/trait#,TOP910
Antarctic population,http://top-thesaurus.org/trait#,TOP801
Dispersule width trait,http://top-thesaurus.org/trait#,TOP94
Second order fine root cellulose content per per dry mass,http://top-thesaurus.org/trait#,TOP825
Plant height generative,http://top-thesaurus.org/trait#,TOP70
Shoot tuber,http://top-thesaurus.org/trait#,TOP161
Plant flowering phases number trait,http://top-thesaurus.org/trait#,TOP294
Plant nickel content per plant dry mass,http://top-thesaurus.org/trait#,TOP519
Coarse root cellulose content per coarse root dry mass,http://top-thesaurus.org/trait#,TOP822
Root carbon content per root dry mass trait,http://top-thesaurus.org/trait#,TOP713
Stem wood calcium content per stem wood dry mass,http://top-thesaurus.org/trait#,TOP604
Root lignin content per root dry mass trait,http://top-thesaurus.org/trait#,TOP846
Germinule length,http://top-thesaurus.org/trait#,TOP93
Wood magnesium content per wood dry mass trait,http://top-thesaurus.org/trait#,TOP737
Root cellulose content per root dry mass trait,http://top-thesaurus.org/trait#,TOP821
Seed sugar content per seed dry mass,http://top-thesaurus.org/trait#,TOP930
Montane distributed plant population,http://top-thesaurus.org/trait#,TOP182
Plant flowering duration trait,http://top-thesaurus.org/trait#,TOP291
Wood manganese content per wood dry mass trait,http://top-thesaurus.org/trait#,TOP738
Stem coarse woody debris sugar content per stem coarse woody debris dry mass,http://top-thesaurus.org/trait#,TOP932
Fine root cellulose content per fine root dry mass,http://top-thesaurus.org/trait#,TOP823
Root chlorine content per root dry mass trait,http://top-thesaurus.org/trait#,TOP714
Stem wood carbon content per stem wood dry mass,http://top-thesaurus.org/trait#,TOP605
Coarse root lignin content per coarse root dry mass,http://top-thesaurus.org/trait#,TOP847
Fruit length,http://top-thesaurus.org/trait#,TOP92
Coarse woody debris sugar content per coarse woody debris dry mass trait,http://top-thesaurus.org/trait#,TOP931
Subalpine distributed plant population,http://top-thesaurus.org/trait#,TOP183
Plant flowering begin trait,http://top-thesaurus.org/trait#,TOP292
Seed thickness,http://top-thesaurus.org/trait#,TOP99
Coarse root silicon content per coarse root dry mass,http://top-thesaurus.org/trait#,TOP408
Cotyledon lipid content per cotyledon dry mass,http://top-thesaurus.org/trait#,TOP868
Plant leaf dry mass trait,http://top-thesaurus.org/trait#,TOP75
Stem wood aluminium content per stem wood dry mass,http://top-thesaurus.org/trait#,TOP602
Specific leaf lamina area,http://top-thesaurus.org/trait#,TOP51
Leaf lignin content per leaf dry mass,http://top-thesaurus.org/trait#,TOP844
Wood copper content per wood dry mass trait,http://top-thesaurus.org/trait#,TOP735
Plant molybdenum content per plant dry mass,http://top-thesaurus.org/trait#,TOP517
Coarse woody debris sodium content per coarse woody debris dry mass trait,http://top-thesaurus.org/trait#,TOP759
Root aluminum content per root dry mass trait,http://top-thesaurus.org/trait#,TOP710
Cotyledon lignin content per cotyledon dry mass,http://top-thesaurus.org/trait#,TOP843
Litter zinc content per litter dry mass,http://top-thesaurus.org/trait#,TOP601
Transport fine root diameter,http://top-thesaurus.org/trait#,TOP952
Lowland distributed plant population,http://top-thesaurus.org/trait#,TOP180
Leaf lipid content per leaf dry mass,http://top-thesaurus.org/trait#,TOP869
Coarse root sulfur content per coarse root dry mass,http://top-thesaurus.org/trait#,TOP409
Plant sodium content per plant dry mass,http://top-thesaurus.org/trait#,TOP518
Dispersule thickness trait,http://top-thesaurus.org/trait#,TOP98
Root calcium content per root dry mass trait,http://top-thesaurus.org/trait#,TOP712
Stem wood boron content per stem wood dry mass,http://top-thesaurus.org/trait#,TOP603
Leaf lignin content per leaf area,http://top-thesaurus.org/trait#,TOP845
Plant leaf lamina area,http://top-thesaurus.org/trait#,TOP74
Wood iron content per wood dry mass trait,http://top-thesaurus.org/trait#,TOP736
Specific leaf area,http://top-thesaurus.org/trait#,TOP50
Leaf cellulose content per leaf area,http://top-thesaurus.org/trait#,TOP820
Root boron content per root dry mass trait,http://top-thesaurus.org/trait#,TOP711
Colline distributed plant population,http://top-thesaurus.org/trait#,TOP181
Germinule width,http://top-thesaurus.org/trait#,TOP97
Stem wood lipid content per stem wood dry mass,http://top-thesaurus.org/trait#,TOP866
Plant magnesium content per plant dry mass,http://top-thesaurus.org/trait#,TOP515
Plant leaf area,http://top-thesaurus.org/trait#,TOP73
Coarse woody debris manganese content per coarse woody debris dry mass trait,http://top-thesaurus.org/trait#,TOP757
Stem coarse woody debris magnesium content per stem coarse woody debris dry mass,http://top-thesaurus.org/trait#,TOP648
Coarse root phosphorus content per coarse root dry mass,http://top-thesaurus.org/trait#,TOP406
Stem wood lignin content per stem wood dry mass,http://top-thesaurus.org/trait#,TOP841
Wood carbon content per wood dry mass trait,http://top-thesaurus.org/trait#,TOP732
Wood lipid content per wood dry mass trait,http://top-thesaurus.org/trait#,TOP865
Fourth order fine root  diameter,http://top-thesaurus.org/trait#,TOP950
Branch wood lipid content per branch wood dry mass,http://top-thesaurus.org/trait#,TOP867
Wood cobalt content per wood dry mass trait,http://top-thesaurus.org/trait#,TOP734
Fruit width,http://top-thesaurus.org/trait#,TOP96
