label,scheme,traitID
Coarse root potassium content per coarse root dry mass,http://top-thesaurus.org/trait#,TOP407
Coarse woody debris molybdenum content per coarse woody debris dry mass trait,http://top-thesaurus.org/trait#,TOP758
Plant manganese content per plant dry mass,http://top-thesaurus.org/trait#,TOP516
Stem coarse woody debris manganese content per stem coarse woody debris dry mass,http://top-thesaurus.org/trait#,TOP649
Plant leaf area trait,http://top-thesaurus.org/trait#,TOP72
Litter sulfur content per litter dry mass,http://top-thesaurus.org/trait#,TOP600
Branch wood lignin content per branch wood dry mass,http://top-thesaurus.org/trait#,TOP842
Wood chlorine content per wood dry mass trait,http://top-thesaurus.org/trait#,TOP733
Absorptive fine root  diameter,http://top-thesaurus.org/trait#,TOP951
Plant specific leaf area,http://top-thesaurus.org/trait#,TOP79
Leaf density trait,http://top-thesaurus.org/trait#,TOP55
Leaf lamina volume,http://top-thesaurus.org/trait#,TOP31
Bark hemicellulose content per bark dry mass,http://top-thesaurus.org/trait#,TOP888
Stem coarse woody debris copper content per stem coarse woody debris dry mass,http://top-thesaurus.org/trait#,TOP646
Cryptic self incompatible plant,http://top-thesaurus.org/trait#,TOP319
Coarse root nickel content per coarse root dry mass,http://top-thesaurus.org/trait#,TOP404
Ellenberg moisture value,http://top-thesaurus.org/trait#,TOP779
Branch sulfur content per branch dry mass,http://top-thesaurus.org/trait#,TOP428
Wood boron content per wood dry mass trait,http://top-thesaurus.org/trait#,TOP730
Coarse root sodium content per coarse root dry mass,http://top-thesaurus.org/trait#,TOP403
Coarse woody debris copper content per coarse woody debris dry mass trait,http://top-thesaurus.org/trait#,TOP754
Plant cobalt content per plant dry mass,http://top-thesaurus.org/trait#,TOP512
Stem coarse woody debris cobalt content per stem coarse woody debris dry mass,http://top-thesaurus.org/trait#,TOP645
Branch hemicellulose content per branch dry mass,http://top-thesaurus.org/trait#,TOP887
Bark lipid content per bark dry mass,http://top-thesaurus.org/trait#,TOP863
Plant specific leaf area trait,http://top-thesaurus.org/trait#,TOP78
Stem hemicellulose content per stem dry mass,http://top-thesaurus.org/trait#,TOP889
Leaf lamina mass per area,http://top-thesaurus.org/trait#,TOP54
Coarse root nitrogen content per coarse root dry mass,http://top-thesaurus.org/trait#,TOP405
Coarse woody debris magnesium content per coarse woody debris dry mass trait,http://top-thesaurus.org/trait#,TOP756
Leaf volume,http://top-thesaurus.org/trait#,TOP30
Plant iron content per plant dry mass,http://top-thesaurus.org/trait#,TOP514
Stem coarse woody debris iron content per stem coarse woody debris dry mass,http://top-thesaurus.org/trait#,TOP647
Branch zinc content per branch dry mass,http://top-thesaurus.org/trait#,TOP429
Wood lignin content per wood dry mass trait,http://top-thesaurus.org/trait#,TOP840
Wood calcium content per wood dry mass trait,http://top-thesaurus.org/trait#,TOP731
Plant copper content per plant dry mass,http://top-thesaurus.org/trait#,TOP513
Coarse woody debris iron content per coarse woody debris dry mass trait,http://top-thesaurus.org/trait#,TOP755
Stem lipid content per stem dry mass,http://top-thesaurus.org/trait#,TOP864
Plant leaf lamina dry mass,http://top-thesaurus.org/trait#,TOP77
Leaf mass per area,http://top-thesaurus.org/trait#,TOP53
Fine root phosphorus content per fine root dry mass,http://top-thesaurus.org/trait#,TOP559
Branch coarse woody debris manganese content per branch coarse woody debris dry mass,http://top-thesaurus.org/trait#,TOP668
Branch potassium content per branch dry mass,http://top-thesaurus.org/trait#,TOP426
Plant has lethal alleles,http://top-thesaurus.org/trait#,TOP317
Coarse root manganese content per coarse root dry mass,http://top-thesaurus.org/trait#,TOP401
Coarse woody debris chlorine content per coarse woody debris dry mass trait,http://top-thesaurus.org/trait#,TOP752
Shoot lipid content per shoot dry mass,http://top-thesaurus.org/trait#,TOP861
Plant carbon content per plant dry mass,http://top-thesaurus.org/trait#,TOP510
Stem coarse woody debris carbon content per stem coarse woody debris dry mass,http://top-thesaurus.org/trait#,TOP643
Light,http://top-thesaurus.org/trait#,TOP776
Branch phosphorus content per branch dry mass,http://top-thesaurus.org/trait#,TOP425
Branch coarse woody debris magnesium content per branch coarse woody debris dry mass,http://top-thesaurus.org/trait#,TOP667
Plant hemicellulose content per plant dry mass,http://top-thesaurus.org/trait#,TOP885
Plant leaf dry mass,http://top-thesaurus.org/trait#,TOP76
Branch silicon content per branch dry mass,http://top-thesaurus.org/trait#,TOP427
Ellenberg temperature value,http://top-thesaurus.org/trait#,TOP778
Plant has inbreeding depression,http://top-thesaurus.org/trait#,TOP318
Leaf mass per area trait,http://top-thesaurus.org/trait#,TOP52
Branch coarse woody debris molybdenum content per branch coarse woody debris dry mass,http://top-thesaurus.org/trait#,TOP669
Plant chlorine content per plant dry mass,http://top-thesaurus.org/trait#,TOP511
Stem wood zinc content per stem wood dry mass,http://top-thesaurus.org/trait#,TOP620
Coarse woody debris cobalt content per coarse woody debris dry mass trait,http://top-thesaurus.org/trait#,TOP753
Stem coarse woody debris chlorine content per stem coarse woody debris dry mass,http://top-thesaurus.org/trait#,TOP644
Coarse root molybdenum content per coarse root dry mass,http://top-thesaurus.org/trait#,TOP402
Full light,http://top-thesaurus.org/trait#,TOP777
Shoot hemicellulose content per shoot dry mass,http://top-thesaurus.org/trait#,TOP886
Branch lipid content per branch dry mass,http://top-thesaurus.org/trait#,TOP862
Petiole thickness,http://top-thesaurus.org/trait#,TOP59
Leaf fresh mass,http://top-thesaurus.org/trait#,TOP35
Spatial distribution,http://top-thesaurus.org/trait#,TOP11
Cotyledon zinc content per cotyledon dry mass,http://top-thesaurus.org/trait#,TOP448
Geitonogamous flower,http://top-thesaurus.org/trait#,TOP339
Branch coarse woody debris lipid content per branch coarse woody debris dry mass,http://top-thesaurus.org/trait#,TOP883
Gametophytic sporophytic incompatible plant,http://top-thesaurus.org/trait#,TOP314
Branch nickel content per branch dry mass,http://top-thesaurus.org/trait#,TOP423
Between semi-shade and semi-light,http://top-thesaurus.org/trait#,TOP774
Branch coarse woody debris copper content per branch coarse woody debris dry mass,http://top-thesaurus.org/trait#,TOP665
Cotyledon sulfur content per cotyledon dry mass,http://top-thesaurus.org/trait#,TOP447
Temperate species,http://top-thesaurus.org/trait#,TOP798
Fine root sodium content per fine root dry mass,http://top-thesaurus.org/trait#,TOP556
Shoot sodium content per shoot dry mass,http://top-thesaurus.org/trait#,TOP689
Coarse woody debris calcium content per coarse woody debris dry mass trait,http://top-thesaurus.org/trait#,TOP750
Stem coarse woody debris boron content per stem coarse woody debris dry mass,http://top-thesaurus.org/trait#,TOP641
Petiole length,http://top-thesaurus.org/trait#,TOP58
Leaf fresh mass trait,http://top-thesaurus.org/trait#,TOP34
Environmental association,http://top-thesaurus.org/trait#,TOP10
Leaf aluminium content per leaf dry mass,http://top-thesaurus.org/trait#,TOP449
Fine root nitrogen content per fine root dry mass,http://top-thesaurus.org/trait#,TOP558
Postcygotic self incompatible plant,http://top-thesaurus.org/trait#,TOP316
Stem coarse woody debris calcium content per stem coarse woody debris dry mass,http://top-thesaurus.org/trait#,TOP642
Heteromorphic self incompatible plant,http://top-thesaurus.org/trait#,TOP315
Coarse root magnesium content per coarse root dry mass,http://top-thesaurus.org/trait#,TOP400
Semi-light,http://top-thesaurus.org/trait#,TOP775
Plant lipid content per plant dry mass,http://top-thesaurus.org/trait#,TOP860
Fine root nickel content per fine root dry mass,http://top-thesaurus.org/trait#,TOP557
Branch coarse woody debris iron content per branch coarse woody debris dry mass,http://top-thesaurus.org/trait#,TOP666
Branch nitrogen content per branch dry mass,http://top-thesaurus.org/trait#,TOP424
Boreal species,http://top-thesaurus.org/trait#,TOP799
Coarse woody debris carbon content per coarse woody debris dry mass trait,http://top-thesaurus.org/trait#,TOP751
Litter lipid content per litter dry mass,http://top-thesaurus.org/trait#,TOP884
Leaf lamina density,http://top-thesaurus.org/trait#,TOP57
Leaflet lamina volume,http://top-thesaurus.org/trait#,TOP33
Obligate apomictic plant,http://top-thesaurus.org/trait#,TOP119
Broadleaved leaf,http://top-thesaurus.org/trait#,TOP228
Self pollinated flower,http://top-thesaurus.org/trait#,TOP336
Cotyledon potassium content per cotyledon dry mass,http://top-thesaurus.org/trait#,TOP445
Meridional  species,http://top-thesaurus.org/trait#,TOP796
Scale-like leaf,http://top-thesaurus.org/trait#,TOP227
Fine root manganese content per fine root dry mass,http://top-thesaurus.org/trait#,TOP554
Shoot manganese content per shoot dry mass,http://top-thesaurus.org/trait#,TOP687
Leaf boron content per leaf area,http://top-thesaurus.org/trait#,TOP469
Sporophytic self incompatible plant,http://top-thesaurus.org/trait#,TOP312
Coarse woody debris lipid content per coarse woody debris dry mass trait,http://top-thesaurus.org/trait#,TOP881
Seed phosphorus content per seed dry mass,http://top-thesaurus.org/trait#,TOP578
Branch molybdenum content per branch dry mass,http://top-thesaurus.org/trait#,TOP421
Between shade and semi-shade,http://top-thesaurus.org/trait#,TOP772
Branch coarse woody debris chlorine content per branch coarse woody debris dry mass,http://top-thesaurus.org/trait#,TOP663
Leaf density,http://top-thesaurus.org/trait#,TOP56
Leaflet volume,http://top-thesaurus.org/trait#,TOP32
Cleistogamous flower,http://top-thesaurus.org/trait#,TOP338
Grass-like leaf,http://top-thesaurus.org/trait#,TOP229
Fine root molybdenum content per fine root dry mass,http://top-thesaurus.org/trait#,TOP555
Branch coarse woody debris cobalt content per branch coarse woody debris dry mass,http://top-thesaurus.org/trait#,TOP664
Branch sodium content per branch dry mass,http://top-thesaurus.org/trait#,TOP422
Submeridional  species,http://top-thesaurus.org/trait#,TOP797
Stem coarse woody debris lipid content per stem coarse woody debris dry mass,http://top-thesaurus.org/trait#,TOP882
Pseudocleistogamous flower,http://top-thesaurus.org/trait#,TOP337
Seed potassium content per seed dry mass,http://top-thesaurus.org/trait#,TOP579
Shoot molybdenum content per shoot dry mass,http://top-thesaurus.org/trait#,TOP688
Gametophytic self incompatible plant,http://top-thesaurus.org/trait#,TOP313
Cotyledon silicon content per cotyledon dry mass,http://top-thesaurus.org/trait#,TOP446
Stem coarse woody debris aluminium content per stem coarse woody debris dry mass,http://top-thesaurus.org/trait#,TOP640
Semi-shade,http://top-thesaurus.org/trait#,TOP773
Leaf dry mass trait,http://top-thesaurus.org/trait#,TOP39
Leaf lamina length,http://top-thesaurus.org/trait#,TOP15
Shoot photosynthetic rate per shoot dry mass,http://top-thesaurus.org/trait#,TOP358
Leaf zinc content per leaf dry mass,http://top-thesaurus.org/trait#,TOP467
Seed nickel content per seed dry mass,http://top-thesaurus.org/trait#,TOP576
Amphimictic plant,http://top-thesaurus.org/trait#,TOP116
Red flower,http://top-thesaurus.org/trait#,TOP249
Wind pollinated flower,http://top-thesaurus.org/trait#,TOP334
Leaf form,http://top-thesaurus.org/trait#,TOP225
Self incompatible plant,http://top-thesaurus.org/trait#,TOP310
Between deep shade and shade,http://top-thesaurus.org/trait#,TOP770
Branch coarse woody debris calcium content per branch coarse woody debris dry mass,http://top-thesaurus.org/trait#,TOP661
Cotyledon nitrogen content per cotyledon dry mass,http://top-thesaurus.org/trait#,TOP443
Tropical species,http://top-thesaurus.org/trait#,TOP794
Fine root iron content per fine root dry mass,http://top-thesaurus.org/trait#,TOP552
Shoot iron content per shoot dry mass,http://top-thesaurus.org/trait#,TOP685
Leaflet lamina fresh mass,http://top-thesaurus.org/trait#,TOP38
Leaflet length,http://top-thesaurus.org/trait#,TOP14
Facultative apomictic plant,http://top-thesaurus.org/trait#,TOP118
Shoot magnesium content per shoot dry mass,http://top-thesaurus.org/trait#,TOP686
Mostly amphimictic rarely apomictic plant,http://top-thesaurus.org/trait#,TOP117
Needle leaf,http://top-thesaurus.org/trait#,TOP226
Seed nitrogen content per seed dry mass,http://top-thesaurus.org/trait#,TOP577
Leaf photosynthetic rate per leaf dry mass,http://top-thesaurus.org/trait#,TOP359
Cotyledon phosphorus content per cotyledon dry mass,http://top-thesaurus.org/trait#,TOP444
Seed lipid content per seed dry mass,http://top-thesaurus.org/trait#,TOP880
Water pollinated flower,http://top-thesaurus.org/trait#,TOP335
Leaf aluminium content per leaf area,http://top-thesaurus.org/trait#,TOP468
Shade,http://top-thesaurus.org/trait#,TOP771
Plant self incompatibility mechanism,http://top-thesaurus.org/trait#,TOP311
Branch coarse woody debris carbon content per branch coarse woody debris dry mass,http://top-thesaurus.org/trait#,TOP662
Fine root magnesium content per fine root dry mass,http://top-thesaurus.org/trait#,TOP553
Subtropical species,http://top-thesaurus.org/trait#,TOP795
Branch manganese content per branch dry mass,http://top-thesaurus.org/trait#,TOP420
Leaflet fresh mass,http://top-thesaurus.org/trait#,TOP37
Leaf length,http://top-thesaurus.org/trait#,TOP13
Stem boron content per stem dry mass,http://top-thesaurus.org/trait#,TOP489
Litter potassium content per litter dry mass,http://top-thesaurus.org/trait#,TOP598
Shrub,http://top-thesaurus.org/trait#,TOP138
Plant relative growth rate,http://top-thesaurus.org/trait#,TOP356
Seed shape,http://top-thesaurus.org/trait#,TOP114
Orange flower,http://top-thesaurus.org/trait#,TOP247
Cotyledon sodium content per cotyledon dry mass,http://top-thesaurus.org/trait#,TOP441
Antarctic species,http://top-thesaurus.org/trait#,TOP792
Pronounced protandrous plant,http://top-thesaurus.org/trait#,TOP332
Fine root cobalt content per fine root dry mass,http://top-thesaurus.org/trait#,TOP550
Shoot cobalt content per shoot dry mass,http://top-thesaurus.org/trait#,TOP683
Simple leaf,http://top-thesaurus.org/trait#,TOP223
Leaf silicon content per leaf dry mass,http://top-thesaurus.org/trait#,TOP465
Seed molybdenum content per seed dry mass,http://top-thesaurus.org/trait#,TOP574
Leaf lamina fresh mass,http://top-thesaurus.org/trait#,TOP36
Leaf length trait,http://top-thesaurus.org/trait#,TOP12
Tree,http://top-thesaurus.org/trait#,TOP139
Purple flower,http://top-thesaurus.org/trait#,TOP248
Litter silicon content per litter dry mass,http://top-thesaurus.org/trait#,TOP599
Leaf sulfur content per leaf dry mass,http://top-thesaurus.org/trait#,TOP466
Seed production type,http://top-thesaurus.org/trait#,TOP115
Compound leaf,http://top-thesaurus.org/trait#,TOP224
Leaf photosynthetic rate per leaf area,http://top-thesaurus.org/trait#,TOP357
Ellenberg salt value,http://top-thesaurus.org/trait#,TOP200
Fine root copper content per fine root dry mass,http://top-thesaurus.org/trait#,TOP551
Branch coarse woody debris boron content per branch coarse woody debris dry mass,http://top-thesaurus.org/trait#,TOP660
Flower pollination syndrome,http://top-thesaurus.org/trait#,TOP333
Austral  species,http://top-thesaurus.org/trait#,TOP793
Seed sodium content per seed dry mass,http://top-thesaurus.org/trait#,TOP575
Shoot copper content per shoot dry mass,http://top-thesaurus.org/trait#,TOP684
Cotyledon nickel content per cotyledon dry mass,http://top-thesaurus.org/trait#,TOP442
Leaf thickness trait,http://top-thesaurus.org/trait#,TOP19
Litter hemicellulose content per litter dry mass,http://top-thesaurus.org/trait#,TOP909
Bark cobalt content per bark dry mass,http://top-thesaurus.org/trait#,TOP378
Plant growth form,http://top-thesaurus.org/trait#,TOP136
Launching dispersed plant,http://top-thesaurus.org/trait#,TOP354
Leaf phosphorus content per leaf dry mass,http://top-thesaurus.org/trait#,TOP463
Fruit dry mass,http://top-thesaurus.org/trait#,TOP112
Yellow flower,http://top-thesaurus.org/trait#,TOP245
Seed magnesium content per seed dry mass,http://top-thesaurus.org/trait#,TOP572
Slightly protandrous plant,http://top-thesaurus.org/trait#,TOP330
Therophyte,http://top-thesaurus.org/trait#,TOP221
Litter nitrogen content per litter dry mass,http://top-thesaurus.org/trait#,TOP596
Metahemerobic,http://top-thesaurus.org/trait#,TOP790
Shoot carbon content per shoot dry mass,http://top-thesaurus.org/trait#,TOP681
Leaflet width,http://top-thesaurus.org/trait#,TOP18
Stem aluminium content per stem dry mass,http://top-thesaurus.org/trait#,TOP488
Herb,http://top-thesaurus.org/trait#,TOP137
Green flower,http://top-thesaurus.org/trait#,TOP246
Bark copper content per bark dry mass,http://top-thesaurus.org/trait#,TOP379
Germinule dry mass,http://top-thesaurus.org/trait#,TOP113
Leaf compoundness,http://top-thesaurus.org/trait#,TOP222
Seed manganese content per seed dry mass,http://top-thesaurus.org/trait#,TOP573
Shoot chlorine content per shoot dry mass,http://top-thesaurus.org/trait#,TOP682
Bristle contraction dispersed plant,http://top-thesaurus.org/trait#,TOP355
Cotyledon molybdenum content per cotyledon dry mass,http://top-thesaurus.org/trait#,TOP440
Litter phosphorus content per litter dry mass,http://top-thesaurus.org/trait#,TOP597
Protandrous plant,http://top-thesaurus.org/trait#,TOP331
Leaf potassium content per leaf dry mass,http://top-thesaurus.org/trait#,TOP464
Floristic zone,http://top-thesaurus.org/trait#,TOP791
Leaf width,http://top-thesaurus.org/trait#,TOP17
Stem coarse woody debris hemicellulose content per stem coarse woody debris dry mass,http://top-thesaurus.org/trait#,TOP907
Rhizome,http://top-thesaurus.org/trait#,TOP158
Bark carbon content per bark dry mass,http://top-thesaurus.org/trait#,TOP376
Leaf sulfur content per leaf area,http://top-thesaurus.org/trait#,TOP485
Autogamous plant,http://top-thesaurus.org/trait#,TOP134
Litter sodium content per litter dry mass,http://top-thesaurus.org/trait#,TOP594
Myrmecochory,http://top-thesaurus.org/trait#,TOP352
Dispersule dry mass trait,http://top-thesaurus.org/trait#,TOP110
Blue flower,http://top-thesaurus.org/trait#,TOP243
Leaf nickel content per leaf dry mass,http://top-thesaurus.org/trait#,TOP461
Seed copper content per seed dry mass,http://top-thesaurus.org/trait#,TOP570
Branch coarse woody debris hemicellulose content per branch coarse woody debris dry mass,http://top-thesaurus.org/trait#,TOP908
Leaf width trait,http://top-thesaurus.org/trait#,TOP16
Rhizome-like pleiocorm,http://top-thesaurus.org/trait#,TOP159
Litter nickel content per litter dry mass,http://top-thesaurus.org/trait#,TOP595
Automictic plant,http://top-thesaurus.org/trait#,TOP135
Brown flower,http://top-thesaurus.org/trait#,TOP244
Bark chlorine content per bark dry mass,http://top-thesaurus.org/trait#,TOP377
Leaf nitrogen content per leaf dry mass,http://top-thesaurus.org/trait#,TOP462
Cryptophyte,http://top-thesaurus.org/trait#,TOP220
Seed dry mass,http://top-thesaurus.org/trait#,TOP111
Water dispersed plant,http://top-thesaurus.org/trait#,TOP353
Leaf zinc content per leaf area,http://top-thesaurus.org/trait#,TOP486
Seed iron content per seed dry mass,http://top-thesaurus.org/trait#,TOP571
Shoot calcium content per shoot dry mass,http://top-thesaurus.org/trait#,TOP680
Transport fine root sugar content per dry mass,http://top-thesaurus.org/trait#,TOP929
Seed hemicellulose content per seed dry mass,http://top-thesaurus.org/trait#,TOP905
Coarse root copper content per coarse root dry mass,http://top-thesaurus.org/trait#,TOP398
Brood shoot,http://top-thesaurus.org/trait#,TOP156
Bark boron content per bark dry mass,http://top-thesaurus.org/trait#,TOP374
Autogamous and allogamous plant,http://top-thesaurus.org/trait#,TOP132
Animal external dispersed plant,http://top-thesaurus.org/trait#,TOP350
Plant chromosome number,http://top-thesaurus.org/trait#,TOP241
