Subject,Predicate,Object
<https://orcid.org/0000-0001-5640-5910>,<http://www.w3.org/2000/01/rdf-schema#label>,'Elizabeth Wenk'^^[xsd:string]
<https://orcid.org/0000-0001-5640-5910>,<http://purl.obolibrary.org/obo/IAO_0000708>,'0000-0001-5640-5910'^^[xsd:string]
<https://orcid.org/0000-0001-8305-3236>,<http://www.w3.org/2000/01/rdf-schema#label>,'Hervé Sauquet'^^[xsd:string]
<https://orcid.org/0000-0001-8305-3236>,<http://purl.obolibrary.org/obo/IAO_0000708>,'0000-0001-8305-3236'^^[xsd:string]
<https://orcid.org/0000-0001-5945-438X>,<http://www.w3.org/2000/01/rdf-schema#label>,'Lydia Guja'^^[xsd:string]
<https://orcid.org/0000-0001-5945-438X>,<http://purl.obolibrary.org/obo/IAO_0000708>,'0000-0001-5945-438X'^^[xsd:string]
<https://orcid.org/0000-0001-8338-9143>,<http://www.w3.org/2000/01/rdf-schema#label>,'Ian J. Wright'^^[xsd:string]
<https://orcid.org/0000-0001-8338-9143>,<http://purl.obolibrary.org/obo/IAO_0000708>,'0000-0001-8338-9143'^^[xsd:string]
<https://orcid.org/0000-0002-0712-5143>,<http://www.w3.org/2000/01/rdf-schema#label>,'Lily Dun'^^[xsd:string]
<https://orcid.org/0000-0002-0712-5143>,<http://purl.obolibrary.org/obo/IAO_0000708>,'0000-0002-0712-5143'^^[xsd:string]
<https://orcid.org/0000-0002-0962-5117>,<http://www.w3.org/2000/01/rdf-schema#label>,'Carl Gosper'^^[xsd:string]
<https://orcid.org/0000-0002-0962-5117>,<http://purl.obolibrary.org/obo/IAO_0000708>,'0000-0002-0962-5117'^^[xsd:string]
<https://orcid.org/0000-0002-1773-6597>,<http://www.w3.org/2000/01/rdf-schema#label>,'David Coleman'^^[xsd:string]
<https://orcid.org/0000-0002-1773-6597>,<http://purl.obolibrary.org/obo/IAO_0000708>,'0000-0002-1773-6597'^^[xsd:string]
<https://orcid.org/0000-0002-3046-0417>,<http://www.w3.org/2000/01/rdf-schema#label>,'Mark Ooi'^^[xsd:string]
<https://orcid.org/0000-0002-3046-0417>,<http://purl.obolibrary.org/obo/IAO_0000708>,'0000-0002-3046-0417'^^[xsd:string]
<https://orcid.org/0000-0002-4680-8115>,<http://www.w3.org/2000/01/rdf-schema#label>,'Rachael Gallagher'^^[xsd:string]
<https://orcid.org/0000-0002-4680-8115>,<http://purl.obolibrary.org/obo/IAO_0000708>,'0000-0002-4680-8115'^^[xsd:string]
<https://orcid.org/0000-0002-6033-2766>,<http://www.w3.org/2000/01/rdf-schema#label>,'Gregory J. Jordan'^^[xsd:string]
<https://orcid.org/0000-0002-6033-2766>,<http://purl.obolibrary.org/obo/IAO_0000708>,'0000-0002-6033-2766'^^[xsd:string]
<https://orcid.org/0000-0002-9814-092X>,<http://www.w3.org/2000/01/rdf-schema#label>,'Daniel Falster'^^[xsd:string]
<https://orcid.org/0000-0002-9814-092X>,<http://purl.obolibrary.org/obo/IAO_0000708>,'0000-0002-9814-092X'^^[xsd:string]
<https://orcid.org/0000-0002-9843-6616>,<http://www.w3.org/2000/01/rdf-schema#label>,'Karen D. Sommerville'^^[xsd:string]
<https://orcid.org/0000-0002-9843-6616>,<http://purl.obolibrary.org/obo/IAO_0000708>,'0000-0002-9843-6616'^^[xsd:string]
<https://orcid.org/0000-0003-0360-8321>,<http://www.w3.org/2000/01/rdf-schema#label>,'Russell Barrett'^^[xsd:string]
<https://orcid.org/0000-0003-0360-8321>,<http://purl.obolibrary.org/obo/IAO_0000708>,'0000-0003-0360-8321'^^[xsd:string]
<https://orcid.org/0000-0003-1116-9402>,<http://www.w3.org/2000/01/rdf-schema#label>,'Patricia Lu-Irving'^^[xsd:string]
<https://orcid.org/0000-0003-1116-9402>,<http://purl.obolibrary.org/obo/IAO_0000708>,'0000-0003-1116-9402'^^[xsd:string]
<https://orcid.org/0000-0003-2008-7062>,<http://www.w3.org/2000/01/rdf-schema#label>,'Peter Vesk'^^[xsd:string]
<https://orcid.org/0000-0003-2008-7062>,<http://purl.obolibrary.org/obo/IAO_0000708>,'0000-0003-2008-7062'^^[xsd:string]
<https://orcid.org/0000-0003-3568-2606>,<http://www.w3.org/2000/01/rdf-schema#label>,'Andy Leigh'^^[xsd:string]
<https://orcid.org/0000-0003-3568-2606>,<http://purl.obolibrary.org/obo/IAO_0000708>,'0000-0003-3568-2606'^^[xsd:string]
<https://orcid.org/0000-0002-3767-2690>,<http://www.w3.org/2000/01/rdf-schema#label>,'Ruby Stephens'^^[xsd:string]
<https://orcid.org/0000-0002-3767-2690>,<http://purl.obolibrary.org/obo/IAO_0000708>,'0000-0002-3767-2690'^^[xsd:string]
<https://orcid.org/0000-0002-6012-8458>,<http://www.w3.org/2000/01/rdf-schema#label>,'Félix de Tombeur'^^[xsd:string]
<https://orcid.org/0000-0002-6012-8458>,<http://purl.obolibrary.org/obo/IAO_0000708>,'0000-0002-6012-8458'^^[xsd:string]
