Entity,label,altLabel,description,SI_code,UCUM_code,UCUM_code_02,UCUM_code_03,UCUM_code_04,exactMatch_01,exactMatch_02,exactMatch_03,exactMatch_04,exactMatch_05,exactMatch_06,exactMatch_07,,,,
https://w3id.org/uom/dS.m-1,decisiemens per metre,decisiemens per meter,A unit which is equal to 10¹ siemens per 1 metre.,dS m-1,dS/m,dS.m-1, , ,https://w3id.org/uom/dOhm-1.m-1,http://qudt.org/vocab/unit/DeciS-PER-M, , , , , ,,,,
https://w3id.org/uom/deg,plane angle degree, ,A unit which 1) is a unit of plane and phase angle, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is equal to Ï€/180 radian.,deg,°, , , ,http://purl.obolibrary.org/obo/UO_0000185,http://qudt.org/vocab/unit/DEG,http://vocab.nerc.ac.uk/collection/P06/current/UAAA,http://www.ontology-of-units-of-measure.org/resource/om-2/degree,http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Degree, , ,,,
https://w3id.org/uom/g,gram, ,An SI unit which is equal to 10³ kilogram.,g,g, , , ,http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Gram,http://purl.obolibrary.org/obo/UO_0000021,http://vocab.nerc.ac.uk/collection/P06/current/UGRM,http://www.ontology-of-units-of-measure.org/resource/om-2/gram,http://qudt.org/vocab/unit/GM, , ,,,,
https://w3id.org/uom/g.cm-2,gram per square centimetre,gram per square centimeter,A unit which is equal to 1 gram per 10² square metre.,g cm-2,g/cm2,g.cm-2, , ,http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerSquareMetreCentimetre,http://vocab.nerc.ac.uk/collection/P06/current/GCM2,http://qudt.org/vocab/unit/GM-PER-CentiM2, , , , ,,,,
https://w3id.org/uom/g.cm-2.d-1,gram per square centimetre day,gram per square centimeter day,A unit which is equal to 1 gram per 10² square metre by 1 day.,g cm-2 d-1,g/cm2/d,g.cm-2.d-1, , , , , , , , , ,,,,
https://w3id.org/uom/g.cm-3,gram per cubic centimetre,gram per cubic centimeter,A unit which is equal to 1 gram per 10² cubic metre.,g cm-3,g/cm3,g.cm-3, , ,http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerCubicCentimetre,http://qudt.org/vocab/unit/GM-PER-CentiM3,http://purl.obolibrary.org/obo/UO_0000084,http://vocab.nerc.ac.uk/collection/P06/current/UGCC, , , ,,,,
https://w3id.org/uom/g.g-1,gram per gram, ,A unit which is equal to 1 gram per 1 gram.,g g-1,g/g,g.g-1, , ,http://vocab.nerc.ac.uk/collection/P06/current/GPRG,http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#GramPerGram,http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerGram,http://qudt.org/vocab/unit/GM-PER-GM, , , ,,,,
https://w3id.org/uom/g.kg-1,gram per kilogram, ,A unit which is equal to 1 gram per 10³ gram.,g kg-1,g/kg,g.kg-1, , ,http://vocab.nerc.ac.uk/collection/P06/current/UGKG,http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerKilogram,http://qudt.org/vocab/unit/GM-PER-KiloGM, , , , ,,,,
https://w3id.org/uom/g.m-1,gram per metre,gram per meter,A unit which is equal to 1 gram per 1 metre.,g m-1,g/m,g.m-1, , ,http://qudt.org/vocab/unit/GM-PER-M,http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerMetre, , , , , ,,,,
https://w3id.org/uom/g.m-2,gram per square metre,gram per square meter,A unit which is equal to 1 gram per 1 square metre.,g m-2,g/m2,g.m-2, , ,http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerSquareMetre,http://qudt.org/vocab/unit/GM-PER-M2,http://purl.obolibrary.org/obo/UO_0010049,http://vocab.nerc.ac.uk/collection/P06/current/UGMS, , , ,,,,
https://w3id.org/uom/h,hour, ,A unit which 1) is a unit of time, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is equal to 60 minute or 3600 second.,h,h, , , ,http://purl.obolibrary.org/obo/UO_0000032,http://www.ontology-of-units-of-measure.org/resource/om-2/hour,http://qudt.org/vocab/unit/HR_Sidereal,http://qudt.org/vocab/unit/HR,http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Hour,http://vocab.nerc.ac.uk/collection/P06/current/UHOR, ,,,
https://w3id.org/uom/kPa,kilopascal, ,A unit which is equal to 10³ pascal.,kPa,kPa, , , ,http://qudt.org/vocab/unit/KiloPA,http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Kilopascal,http://www.ontology-of-units-of-measure.org/resource/om-2/kilopascal,http://vocab.nerc.ac.uk/collection/P06/current/KIPA, , , ,,,,
https://w3id.org/uom/kg.m-1.MPa-1.s-1,kilogram per metre megapascal second,kilogram per meter megapascal second,A unit which is equal to 10³ gram per 1 metre by 10 mega pascal by 1 second.,kg m-1 MPa-1 s-1,kg/m/MPa/s,kg.m-1.MPa-1.s-1, , , , , , , , , ,,,,
https://w3id.org/uom/kg.m.MPa-1.s-1,kilogram metre per megapascal second,kilogram meter per megapascal second,A unit which is equal to 10³ gram by 1 metre per 10 mega pascal by 1 second.,kg m MPa-1 s-1,kg.m/MPa/s,kg.m.MPa-1.s-1, , , , , , , , , ,,,,
https://w3id.org/uom/m,metre,meter,An SI base unit which 1) is the SI unit of length and 2) is defined by taking the fixed numerical value of the speed of light in vacuum c  to be 299 792 458 when expressed in the unit metre per second  where the second is defined in terms of the caesium frequency âˆ†Î½Cs.,m,m, , , ,http://qudt.org/vocab/unit/M,http://vocab.nerc.ac.uk/collection/P06/current/ULAA,http://purl.obolibrary.org/obo/UO_0000008,http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Meter,http://www.ontology-of-units-of-measure.org/resource/om-2/metre,,,, , ,
https://w3id.org/uom/m.g-1,metre per gram,meter per gram,A unit which is equal to 1 metre per 1 gram.,m g-1,m/g,m.g-1, , , , , , , , , ,,,,
https://w3id.org/uom/mg,milligram, ,A unit which is equal to 10³ gram.,mg,mg, , , ,http://qudt.org/vocab/unit/MilliGM,http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Milligram,http://www.ontology-of-units-of-measure.org/resource/om-2/milligram,http://purl.obolibrary.org/obo/UO_0000022, , , ,,,,
https://w3id.org/uom/mg.g-1,milligram per gram, ,A unit which is equal to 10-3 gram per 1 gram.,mg g-1,mg/g,mg.g-1, , ,http://vocab.nerc.ac.uk/collection/P06/current/MGPGhttp://qudt.org/vocab/unit/MilliGM-PER-GM, , , , , , ,,,,
https://w3id.org/uom/mg.kg-1,milligram per kilogram, ,A unit which is equal to 10-³ gram per 106³ gram.,mg kg-1,mg/kg,mg.kg-1, , ,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,http://www.ontology-of-units-of-measure.org/resource/om-2/milligramPerKilogram,http://vocab.nerc.ac.uk/collection/P06/current/UMKG,http://purl.obolibrary.org/obo/UO_0000308, , , ,,,,
https://w3id.org/uom/mg.mg-1,milligram per milligram, ,A unit which is equal to 10-³ gram per 10-³ gram.,mg mg-1,mg/mg,mg.mg-1, , , , , , , , , ,,,,
https://w3id.org/uom/mg.mm-3,milligram per cubic millimetre,milligram per cubic millimeter,A unit which is equal to 10-³ gram per 10-³ cubic metre.,mg mm-3,mg/mm3,mg.mm-3, , , , , , , , , ,,,,
https://w3id.org/uom/mm,millimetre,millimeter,A unit which is equal to 10-³ metre.,mm,mm, , , ,http://qudt.org/vocab/unit/MilliM,http://www.ontology-of-units-of-measure.org/resource/om-2/millimetre,http://purl.obolibrary.org/obo/UO_0000016,http://vocab.nerc.ac.uk/collection/P06/current/UXMM,http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Millimeter, , ,,,,
https://w3id.org/uom/mm-1,reciprocal millimetre,reciprocal millimeter,A unit which is equal to the reciprocal of 10-³ metre.,mm-1,/mm,mm-1, , , , , , , , , ,,,,
https://w3id.org/uom/mm-2,reciprocal square millimetre,reciprocal square millimeter,A unit which is equal to the reciprocal of 10-³ square metre.,mm-2,/mm2,mm-2, , , , , , , , , ,,,,
https://w3id.org/uom/mm.mm-1,millimetre per millimetre,millimeter per millimeter,A unit which is equal to 10-³ metre per 10-³ metre.,mm mm-1,mm/mm,mm.mm-1, , , , , , , , , ,,,,
https://w3id.org/uom/mm.mm-2,millimetre per square millimetre,millimeter per square millimeter,A unit which is equal to 10-³ metre per 10-³ square metre.,mm mm-2,mm/mm2,mm.mm-2, , , , , , , , , ,,,,
https://w3id.org/uom/mm2,square millimetre,square millimeter,A unit which is equal to 10-³ square metre.,mm2,mm2, , , ,http://www.ontology-of-units-of-measure.org/resource/om-2/squareMillimetre,http://purl.obolibrary.org/obo/UO_0000082,http://qudt.org/vocab/unit/MilliM2,http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#MillimeterSquared, , , ,,,,
https://w3id.org/uom/mm2.mg-1,square millimetre per milligram,square millimeter per milligram,A unit which is equal to 10-³ square metre per 10-³ gram.,mm2 mg-1,mm2/mg,mm2.mg-1, , , , , , , , , ,,,,
https://w3id.org/uom/mm2.mm-2,square millimetre per square millimetre,square millimeter per square millimeter,A unit which is equal to 10-³ square metre per 10-³ square metre.,mm2 mm-2,mm2/mm2,mm2.mm-2, , , , , , , , , ,,,,
https://w3id.org/uom/mm3,cubic millimetre,cubic millimeter,A unit which is equal to 10-³ cubic metre.,mm3,mm3, , , ,http://www.ontology-of-units-of-measure.org/resource/om-2/cubicMillimetre,http://qudt.org/vocab/unit/MilliM3, , , , , ,,,,
https://w3id.org/uom/mm3.mm-3,cubic millimetre per cubic millimetre,cubic millimeter per cubic millimeter,A unit which is equal to 10-³ cubic metre per 10-³ cubic metre.,mm3 mm-3,mm3/mm3,mm3.mm-3, , ,http://www.ontology-of-units-of-measure.org/resource/om-2/cubicMillimetrePerCubicMillimetre, , , , , , ,,,,
https://w3id.org/uom/mmol.g-1,millimole per gram, ,A unit which is equal to 10-³ mole per 1 gram.,mmol g-1,mmol/g,mmol.g-1, , ,http://qudt.org/vocab/unit/MilliMOL-PER-GM, , , , , , ,,,,
https://w3id.org/uom/mmol.g-1.s-1,millimole per gram second, ,A unit which is equal to 10-³ mole per 1 gram by 1 second.,mmol g-1 s-1,mmol/g/s,mmol.g-1.s-1, , , , , , , , , ,,,,
https://w3id.org/uom/mmol.kg-1,millimole per kilogram, ,A unit which is equal to 10-³ mole per 106 gram.,mmol kg-1,mmol/kg,mmol.kg-1, , ,http://purl.obolibrary.org/obo/UO_0000069,http://vocab.nerc.ac.uk/collection/P06/current/MMKG,http://qudt.org/vocab/unit/MilliMOL-PER-KiloGM, , , , ,,,,
https://w3id.org/uom/mmol.m-2.MPa-1.s-1,millimole per square metre megapascal second,millimole per square meter megapascal second,A unit which is equal to 10-³ mole per 1 square metre by 10 mega pascal by 1 second.,mmol m-2 MPa-1 s-1,mmol/m2/MPa/s,mmol.m-2.MPa-1.s-1, , , , , , , , , ,,,,
https://w3id.org/uom/mmol.m-2.s-1,millimole water per square metre secondmillimole per square metre second, ,A unit which is equal to 10-³ mole per 1 square metre by 1 second.A unit which is equal to 10-³ mole water per 1 square metre by 1 second.,mmol m-2 s-1,mmol/m2/s,mmol{H2O}/m2/s,mmol{H2O}.m-2.s-1,mmol.m-2.s-1, , , , , , , ,,,,
https://w3id.org/uom/mo,month, , , ,mo, , , ,http://purl.obolibrary.org/obo/UO_0000035,http://vocab.nerc.ac.uk/collection/P06/current/UMNT,http://qudt.org/vocab/unit/MO,http://www.ontology-of-units-of-measure.org/resource/om-2/month, , , ,,,,
https://w3id.org/uom/mol.m-2.s-1,mole per square metre second,mole per square meter second,A unit which is equal to 1 mole per 1 square metre by 1 second.,mol m-2 s-1,mol/m2/s,mol.m-2.s-1, , ,http://qudt.org/vocab/unit/MOL-PER-M2-SEChttp://vocab.nerc.ac.uk/collection/P06/current/M2MS, , , , , , ,,,,
https://w3id.org/uom/pg,picogram, ,A unit which is equal to 10¹² gram.,pg,pg, , , ,http://purl.obolibrary.org/obo/UO_0000025,http://vocab.nerc.ac.uk/collection/P06/current/UGPG,http://www.ontology-of-units-of-measure.org/resource/om-2/picogram,http://qudt.org/vocab/unit/PicoGM, , , ,,,,
https://w3id.org/uom/s,second, ,An SI base unit which 1) is the SI unit of time and 2) is defined by taking the fixed numerical value of the caesium frequency  the unperturbed ground-state hyperfine transition frequency of the caesium 133 atom  to be 9 192 631 770 when expressed in the unit hertz  which is equal to a reciprocal second.,s,s, , , ,http://purl.obolibrary.org/obo/UO_0000010,http://qudt.org/vocab/unit/SEC,http://www.ontology-of-units-of-measure.org/resource/om-2/second-Time,http://vocab.nerc.ac.uk/collection/P06/current/UTBB,http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Second, ,,,,, 
https://w3id.org/uom/um,micrometre,micrometer,A unit which is equal to 10-6 metre.,um,um,, , ,http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Micrometer,http://qudt.org/vocab/unit/MicroM,http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Micron,http://www.ontology-of-units-of-measure.org/resource/om-2/micrometre,http://purl.obolibrary.org/obo/UO_0000017,http://vocab.nerc.ac.uk/collection/P06/current/UMIC,http://www.ontology-of-units-of-measure.org/resource/om-2/micron,,,,
https://w3id.org/uom/um2,square micrometre,square micrometer,A unit which is equal to 10-6 square metre.,um2,um2,, , ,http://vocab.nerc.ac.uk/collection/P06/current/SQUM,http://qudt.org/vocab/unit/MicroM2,http://purl.obolibrary.org/obo/UO_0010001,http://www.ontology-of-units-of-measure.org/resource/om-2/squareMicrometre,http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#MicrometerSquared, , ,,,,
https://w3id.org/uom/umol.g-1,micromole per gram, ,A unit which is equal to 10-6 mole per 1 gram.,umol g-1,umol/g,umol.g-1, , , , , , , , , ,,,,
https://w3id.org/uom/umol.g-1.s-1,micromole per gram second, ,A unit which is equal to 10-6 mole per 1 gram by 1 second.,umol g-1 s-1,umol/g/s,umol.g-1.s-1, , ,http://www.ontology-of-units-of-measure.org/resource/om-2/micromolePerSecond-TimeGram, , , , , , ,,,,
https://w3id.org/uom/umol.m-2,micromole per square metre,micromole per square meter,A unit which is equal to 10-6 mole per 1 square metre.,umol m-2,umol/m2,umol.m-2, , , , , , , , , ,,,,
https://w3id.org/uom/umol.m-2.s-1,micromole per square metre second,micromole per square meter second,A unit which is equal to 10-6 mole per 1 square metre by 1 second.,umol m-2 s-1,umol/m2/s,umol.m-2.s-1, , ,http://qudt.org/vocab/unit/MicroMOL-PER-M2-SEC,http://vocab.nerc.ac.uk/collection/P06/current/UM2S, , , , , ,,,,
https://w3id.org/uom/umol.mmol-1,micromole per millimole, ,A unit which is equal to 10-6 mole per 10³ mole.,umol mmol-1,umol/mmol,umol.mmol-1, , , , , , , , , ,,,,
https://w3id.org/uom/umol.mol-1,micromole per mole, ,A unit which is equal to 10-6 mole per 1 mole.,umol mol-1,umol/mol,umol.mol-1, , ,http://www.ontology-of-units-of-measure.org/resource/om-2/micromolePerMole,http://qudt.org/vocab/unit/MicroMOL-PER-MOL,http://vocab.nerc.ac.uk/collection/P06/current/UMPM, , , , ,,,,
https://w3id.org/uom/umol.mol-1.s-1,micromole per mole second, ,A unit which is equal to 10-6 mole per 1 mole by 1 second.,umol mol-1 s-1,umol/mol/s,umol.mol-1.s-1, , , , , , , , , ,,,,
https://w3id.org/uom/umol.umol-1,micromole per micromole, ,A unit which is equal to 10-6 mole per 10-6 mole.,umol umol-1,umol/umol,umol.umol-1, , , , , , , , , ,,,,
https://w3id.org/uom/%5Bppm%5D,parts per million, , , ,[ppm], , , ,http://vocab.nerc.ac.uk/collection/P06/current/UPPM,http://qudt.org/vocab/unit/PPM,http://www.ontology-of-units-of-measure.org/resource/om-2/partsPerMillion,http://purl.obolibrary.org/obo/UO_0000169, , , ,,,,
https://w3id.org/uom/%5Bppth%5D,parts per thousand, , , ,[ppth], , , ,http://purl.obolibrary.org/obo/UO_0000168,http://vocab.nerc.ac.uk/collection/P06/current/UPPT,http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#PartPerThousand,http://qudt.org/vocab/unit/PPTH, , , ,,,,
https://w3id.org/uom/mm2.um,square millimetre micrometre, ,A unit which is equal to 10⁻³ square metre by 10⁻⁶ metre.,mm2 um,mm2.um, , , , , , , , , , ,,,,
