Entity,label,altLabel,description,SI_code,UCUM_code,UCUM_code_02,UCUM_code_03,UCUM_code_04,exactMatch_01,exactMatch_02,exactMatch_03,exactMatch_04,exactMatch_05,exactMatch_06,exactMatch_07,,,,
https://w3id.org/uom/Cel,degree Celsius, ,A special named SI unit which 1) is a unit of temperature and 2) is equal to a one kelvin.,°C,Cel, , , ,http://www.ontology-of-units-of-measure.org/resource/om-2/degreeCelsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA,http://purl.obolibrary.org/obo/UO_0000027,http://qudt.org/vocab/unit/DEG_C,http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Celsius, , ,,,,
https://w3id.org/uom/MPa,megapascal, ,A unit which is equal to 10 mega pascal.,MPa,MPa, , , ,http://qudt.org/vocab/unit/MegaPA,http://www.ontology-of-units-of-measure.org/resource/om-2/megapascal, , , , , ,,,,
https://w3id.org/uom/N,newton, ,A special named SI unit which 1) is a unit of force and 2) is equal to a kilogram metre per square second.,N,N, , , ,http://qudt.org/vocab/unit/N,http://purl.obolibrary.org/obo/UO_0000108,http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Newton,http://www.ontology-of-units-of-measure.org/resource/om-2/newton, , , ,,,,
https://w3id.org/uom/N.m-1,newton per metre,newton per meter,A unit which is equal to 1 newton per 1 metre.,N m-1,N/m,N.m-1, , ,http://vocab.nerc.ac.uk/collection/P06/current/NTPM,http://qudt.org/vocab/unit/N-PER-M,http://purl.obolibrary.org/obo/UO_0000254,http://www.ontology-of-units-of-measure.org/resource/om-2/newtonPerMetre, , , ,,,,
https://w3id.org/uom/N.m-2,newton per square metre,newton per square meter,A unit which is equal to 1 newton per 1 square metre.,N m-2,N/m2,N.m-2, , ,http://qudt.org/vocab/unit/N-PER-M2,http://www.ontology-of-units-of-measure.org/resource/om-2/newtonPerSquareMetre,http://vocab.nerc.ac.uk/collection/P06/current/UNSM, , , , ,,,,
https://w3id.org/uom/Pa,pascal, ,A special named SI unit which 1) is a unit of pressure or stress and 2) is equal to a kilogram per metre square second.,Pa,Pa, , , ,http://qudt.org/vocab/unit/PA,http://www.ontology-of-units-of-measure.org/resource/om-2/pascal,http://purl.obolibrary.org/obo/UO_0000110,http://vocab.nerc.ac.uk/collection/P06/current/PASX,http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Pascal, , ,,,,
https://w3id.org/uom/S,siemens, ,A special named SI unit which 1) is a unit of electric conductance and 2) is equal to a square ampere cubic second per kilogram square metre.,S,S, , , ,http://qudt.org/vocab/unit/S,http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Siemens,http://www.ontology-of-units-of-measure.org/resource/om-2/siemens,http://purl.obolibrary.org/obo/UO_0000264,https://w3id.org/uom/Ohm-1, , ,,,,
https://w3id.org/uom/a,year, , , ,a, , , ,http://qudt.org/vocab/unit/YR,http://purl.obolibrary.org/obo/UO_0000036,http://vocab.nerc.ac.uk/collection/P06/current/UYRS,http://www.ontology-of-units-of-measure.org/resource/om-2/year, , , ,,,,
https://w3id.org/uom/cm.s-1,centimetre per second,centimeter per second,A unit which is equal to 10² metre per 1 second.,cm s-1,cm/s,cm.s-1, , ,http://www.ontology-of-units-of-measure.org/resource/om-2/centimetrePerSecond-Time,http://qudt.org/vocab/unit/CentiM-PER-SEC, , , , , ,,,,
https://w3id.org/uom/d,day, ,A unit which 1) is a unit of time, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is equal to 24 hour or 86400 second.,d,d, , , ,http://vocab.nerc.ac.uk/collection/P06/current/UTAA,http://qudt.org/vocab/unit/DAY,http://qudt.org/vocab/unit/DAY_Sidereal,http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Day,http://purl.obolibrary.org/obo/UO_0000033,http://www.ontology-of-units-of-measure.org/resource/om-2/day, ,,,
